Authors
"('Tianprateep M.', 'Wannadelok O.')"
"('Kareeso P.', 'Burikham P.')"
"('Potipiranun T.', 'Adisakwattana S.')"
"('Potipiranun T.', 'Worawalai W.')"
"('Potipiranun T.', 'Ramadhan R.')"
"('Potipiranun T.', 'Phuwapraisirisan P.')"
"('Adisakwattana S.', 'Worawalai W.')"
"('Adisakwattana S.', 'Ramadhan R.')"
"('Adisakwattana S.', 'Phuwapraisirisan P.')"
"('Worawalai W.', 'Ramadhan R.')"
"('Worawalai W.', 'Phuwapraisirisan P.')"
"('Ramadhan R.', 'Phuwapraisirisan P.')"
"('Evnin O.', 'Nguyen K.')"
"('Nimmanpipug P.', 'Kodchakorn K.')"
"('Nimmanpipug P.', 'Lee V.S.')"
"('Nimmanpipug P.', 'Yana J.')"
"('Nimmanpipug P.', 'Jarumaneeroj C.')"
"('Nimmanpipug P.', 'Phongtamrug S.')"
"('Nimmanpipug P.', 'Chirachanchai S.')"
"('Kodchakorn K.', 'Lee V.S.')"
"('Kodchakorn K.', 'Yana J.')"
"('Kodchakorn K.', 'Jarumaneeroj C.')"
"('Kodchakorn K.', 'Phongtamrug S.')"
"('Kodchakorn K.', 'Chirachanchai S.')"
"('Lee V.S.', 'Yana J.')"
"('Lee V.S.', 'Jarumaneeroj C.')"
"('Lee V.S.', 'Phongtamrug S.')"
"('Lee V.S.', 'Chirachanchai S.')"
"('Yana J.', 'Jarumaneeroj C.')"
"('Yana J.', 'Phongtamrug S.')"
"('Yana J.', 'Chirachanchai S.')"
"('Jarumaneeroj C.', 'Phongtamrug S.')"
"('Jarumaneeroj C.', 'Chirachanchai S.')"
"('Phongtamrug S.', 'Chirachanchai S.')"
"('Chaiviriyawong P.', 'Panedpojaman P.')"
"('Chaiviriyawong P.', 'Limkatanyu S.')"
"('Chaiviriyawong P.', 'Pinkeaw T.')"
"('Panedpojaman P.', 'Limkatanyu S.')"
"('Panedpojaman P.', 'Pinkeaw T.')"
"('Limkatanyu S.', 'Pinkeaw T.')"
"('Wannachod T.', 'Hronec M.')"
"('Wannachod T.', 'Sotak T.')"
"('Wannachod T.', 'Fulajtarova K.')"
"('Wannachod T.', 'Pancharoen U.')"
"('Wannachod T.', 'Arpornwichanop A.')"
"('Hronec M.', 'Sotak T.')"
"('Hronec M.', 'Fulajtarova K.')"
"('Hronec M.', 'Pancharoen U.')"
"('Hronec M.', 'Arpornwichanop A.')"
"('Sotak T.', 'Fulajtarova K.')"
"('Sotak T.', 'Pancharoen U.')"
"('Sotak T.', 'Arpornwichanop A.')"
"('Fulajtarova K.', 'Pancharoen U.')"
"('Fulajtarova K.', 'Arpornwichanop A.')"
"('Pancharoen U.', 'Arpornwichanop A.')"
"('Srikhong P.', 'Lertmongkonthum K.')"
"('Srikhong P.', 'Sowanpreecha R.')"
"('Srikhong P.', 'Rerngsamran P.')"
"('Lertmongkonthum K.', 'Sowanpreecha R.')"
"('Lertmongkonthum K.', 'Rerngsamran P.')"
"('Sowanpreecha R.', 'Rerngsamran P.')"
"('Pooput P.', 'Muenchaisri P.')"
"('Tungjaturasopon P.', 'Piromsopa K.')"
